Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,20.8,21.47,20.73,21.37,4352241
1/3/2018 16:00:00,21.4,21.68,21.04,21.15,4521527
1/4/2018 16:00:00,20.86,21.24,20.38,20.97,9946304
1/5/2018 16:00:00,21.11,21.15,20.8,21.11,4591180
1/8/2018 16:00:00,21.07,22.47,21.03,22.43,9859435
1/9/2018 16:00:00,22.34,22.59,21.83,22.25,7146631
1/10/2018 16:00:00,22.15,22.47,22,22.32,4309926
1/11/2018 16:00:00,22.35,22.99,22.22,22.53,6645484
1/12/2018 16:00:00,22.58,22.69,22.24,22.41,4825059
1/16/2018 16:00:00,22.5,23,22.32,22.67,6474251
1/17/2018 16:00:00,22.7,23.27,22.65,23.14,7103505
1/18/2018 16:00:00,23.04,23.49,22.92,22.97,5685845
1/19/2018 16:00:00,23,23.37,22.84,23.33,4888303
1/22/2018 16:00:00,23.29,23.86,23.28,23.44,6210360
1/23/2018 16:00:00,24,24.03,23.4,23.52,5465414
1/24/2018 16:00:00,23.64,23.65,22.9,23.06,5287478
1/25/2018 16:00:00,23.22,23.28,22.43,22.51,6740303
1/26/2018 16:00:00,22.77,22.93,22.38,22.86,4539356
1/29/2018 16:00:00,22.66,23.39,22.55,23.3,4747149
1/30/2018 16:00:00,23.01,23.22,22.81,23.05,4717700
1/31/2018 16:00:00,23.17,23.75,23.01,23.62,6214069
2/1/2018 16:00:00,23.4,23.98,23.24,23.28,4197687
2/2/2018 16:00:00,23.23,23.46,22.7,22.92,3704836
2/5/2018 16:00:00,22.53,22.96,22.2,22.21,4464147
2/6/2018 16:00:00,21.68,22.41,21.57,22.26,5088438
2/7/2018 16:00:00,22.6,23.07,22.38,23,6969239
2/8/2018 16:00:00,22.89,23.24,20.97,21.02,10314573
2/9/2018 16:00:00,21.33,21.4,19.65,20.69,12933721
2/12/2018 16:00:00,21.08,21.21,20.42,21.05,6227822
2/13/2018 16:00:00,21,21.61,20.83,21.58,4560231
2/14/2018 16:00:00,21.39,21.74,21.23,21.49,3950743
2/15/2018 16:00:00,21.63,22.27,21.49,22.27,5912917
2/16/2018 16:00:00,22.17,22.87,22.11,22.37,5642637
2/20/2018 16:00:00,22.3,22.72,22.1,22.32,4009435
2/21/2018 16:00:00,22.4,22.65,22.21,22.22,3219649
2/22/2018 16:00:00,22.37,23.16,22.32,23.08,6969808
2/23/2018 16:00:00,23.19,23.67,23.14,23.47,5817387
2/26/2018 16:00:00,23.57,23.93,23.49,23.83,4339985
2/27/2018 16:00:00,23.75,24,23.33,23.4,4797419
2/28/2018 16:00:00,23.5,23.68,22.81,22.87,6069658
3/1/2018 16:00:00,23,23.24,22,22.06,6885601
3/2/2018 16:00:00,21.8,22.35,21.53,22.34,5092829
3/5/2018 16:00:00,22.16,22.52,21.95,22.22,3823769
3/6/2018 16:00:00,22.25,22.42,21.8,21.88,4285744
3/7/2018 16:00:00,21.7,22.17,21.45,22.15,5007297
3/8/2018 16:00:00,22.19,22.22,21.75,21.94,3566244
3/9/2018 16:00:00,21.61,21.9,21.49,21.81,5506764
3/12/2018 16:00:00,21.91,23.15,21.77,23.03,8264035
3/13/2018 16:00:00,22.99,23.01,22.42,22.79,5965805
3/14/2018 16:00:00,22.45,22.65,21.6,21.78,7967370
3/15/2018 16:00:00,21.96,22.19,21.41,21.71,6564801
3/16/2018 16:00:00,21.73,21.83,21.27,21.42,6117279
3/19/2018 16:00:00,21.1,21.38,20.64,20.9,7484294
3/20/2018 16:00:00,20.99,21.08,20.58,20.7,4764293
3/21/2018 16:00:00,20.68,21.5,20.68,21.1,5958411
3/22/2018 16:00:00,20.93,21.25,20.55,20.61,4939771
3/23/2018 16:00:00,20.75,20.77,20.03,20.1,6654899
3/26/2018 16:00:00,20.49,20.51,19.42,20.28,8375175
3/27/2018 16:00:00,20.27,20.28,18.48,18.61,13872029
3/28/2018 16:00:00,17.64,17.91,16.81,17.19,21001437
3/29/2018 16:00:00,17.1,18.06,16.55,17.74,15170749
4/2/2018 16:00:00,17.08,17.36,16.31,16.83,16113968
4/3/2018 16:00:00,17.99,18.22,16.97,17.84,18844384
4/4/2018 16:00:00,16.85,19.22,16.8,19.13,19896746
4/5/2018 16:00:00,19.29,20.42,19.21,20.38,19121101
4/6/2018 16:00:00,20.07,20.62,19.7,19.95,13520286
4/9/2018 16:00:00,20.02,20.63,19.28,19.31,10249805
